
functionGeneratorPerformance.ino
FUNCTIONGENERATOR_LIB_VERSION: 0.3.0

indicative output Arduino UNO 1.8.19, 16 MHz.

| wave form name |  usec  |  max calls/sec  |
|:---------------|-------:|----------------:|
| square         |  54.57 |       18325.49  |
| sawtooth       |  61.69 |       16210.61  |
| triangle       |  79.80 |       12531.96  |
| sinus          | 166.38 |        6010.37  |
| stair          |  80.86 |       12366.38  |
| random         |  42.61 |       23466.69  |
| random_DC      |  67.18 |       14885.12  |
| line           |   0.76 |     1322751.37  |
| zero           |   0.75 |     1324854.25  |
| sinusDiode     | 169.93 |        5884.79  |
| sinusRectified | 169.49 |        5900.03  |
| trapezium1     | 100.98 |        9903.30  |
| trapezium2     | 143.98 |        6945.58  |
| heartBeat      | 128.52 |        7780.77  |
| freeWave       |  75.52 |       13241.31  |



t 	 sqr	 saw	 tri	 sin	 str	 rnd	 line	 zero	 sinD	 sinR	 trap
1.04	1.00	-0.92	-0.84	0.25	-1.00	0.76	1.00	0.00	0.25	0.25	-0.68
1.06	1.00	-0.88	-0.76	0.37	-1.00	0.54	1.00	0.00	0.37	0.37	-0.52
1.08	1.00	-0.84	-0.68	0.48	-1.00	0.52	1.00	0.00	0.48	0.48	-0.36
1.10	1.00	-0.80	-0.60	0.59	-1.00	0.56	1.00	0.00	0.59	0.59	-0.20
1.12	1.00	-0.76	-0.52	0.68	-1.00	0.25	1.00	0.00	0.68	0.68	-0.04
1.14	1.00	-0.72	-0.44	0.77	-0.71	0.80	1.00	0.00	0.77	0.77	0.12
1.16	1.00	-0.68	-0.36	0.84	-0.71	0.02	1.00	0.00	0.84	0.84	0.28
1.18	1.00	-0.64	-0.28	0.90	-0.71	0.85	1.00	0.00	0.90	0.90	0.44
1.20	1.00	-0.60	-0.20	0.95	-0.71	0.13	1.00	0.00	0.95	0.95	0.60
1.22	1.00	-0.56	-0.12	0.98	-0.71	0.05	1.00	0.00	0.98	0.98	0.76
1.24	1.00	-0.52	-0.04	1.00	-0.71	0.93	1.00	0.00	1.00	1.00	0.92
1.26	1.00	-0.48	0.04	1.00	-0.43	0.97	1.00	0.00	1.00	1.00	1.00
1.28	1.00	-0.44	0.12	0.98	-0.43	0.34	1.00	0.00	0.98	0.98	1.00
1.30	1.00	-0.40	0.20	0.95	-0.43	0.57	1.00	0.00	0.95	0.95	1.00
1.32	1.00	-0.36	0.28	0.90	-0.43	0.60	1.00	0.00	0.90	0.90	1.00
1.34	1.00	-0.32	0.36	0.84	-0.43	0.91	1.00	0.00	0.84	0.84	1.00
1.36	1.00	-0.28	0.44	0.77	-0.43	0.96	1.00	0.00	0.77	0.77	1.00
1.38	1.00	-0.24	0.52	0.68	-0.14	0.25	1.00	0.00	0.68	0.68	1.00
1.40	1.00	-0.20	0.60	0.59	-0.14	0.56	1.00	0.00	0.59	0.59	1.00
1.42	1.00	-0.16	0.68	0.48	-0.14	0.06	1.00	0.00	0.48	0.48	1.00
1.44	1.00	-0.12	0.76	0.37	-0.14	0.75	1.00	0.00	0.37	0.37	1.00
1.46	1.00	-0.08	0.84	0.25	-0.14	0.14	1.00	0.00	0.25	0.25	1.00
1.48	1.00	-0.04	0.92	0.13	-0.14	0.92	1.00	0.00	0.13	0.13	1.00
1.50	-1.00	0.00	1.00	-0.00	0.14	0.35	1.00	0.00	0.00	0.00	1.00
1.52	-1.00	0.04	0.92	-0.13	0.14	0.32	1.00	0.00	0.00	0.13	0.84
1.54	-1.00	0.08	0.84	-0.25	0.14	0.50	1.00	0.00	0.00	0.25	0.68
1.56	-1.00	0.12	0.76	-0.37	0.14	0.97	1.00	0.00	0.00	0.37	0.52
1.58	-1.00	0.16	0.68	-0.48	0.14	0.28	1.00	0.00	0.00	0.48	0.36
1.60	-1.00	0.20	0.60	-0.59	0.14	0.43	1.00	0.00	0.00	0.59	0.20
1.62	-1.00	0.24	0.52	-0.68	0.14	0.42	1.00	0.00	0.00	0.68	0.04
1.64	-1.00	0.28	0.44	-0.77	0.43	0.87	1.00	0.00	0.00	0.77	-0.12
1.66	-1.00	0.32	0.36	-0.84	0.43	0.20	1.00	0.00	0.00	0.84	-0.28
1.68	-1.00	0.36	0.28	-0.90	0.43	0.51	1.00	0.00	0.00	0.90	-0.44
1.70	-1.00	0.40	0.20	-0.95	0.43	0.34	1.00	0.00	0.00	0.95	-0.60
1.72	-1.00	0.44	0.12	-0.98	0.43	0.26	1.00	0.00	0.00	0.98	-0.76
1.74	-1.00	0.48	0.04	-1.00	0.43	0.04	1.00	0.00	0.00	1.00	-0.92
1.76	-1.00	0.52	-0.04	-1.00	0.71	0.04	1.00	0.00	0.00	1.00	-1.00
1.78	-1.00	0.56	-0.12	-0.98	0.71	0.60	1.00	0.00	0.00	0.98	-1.00
1.80	-1.00	0.60	-0.20	-0.95	0.71	0.82	1.00	0.00	0.00	0.95	-1.00
1.82	-1.00	0.64	-0.28	-0.90	0.71	0.23	1.00	0.00	0.00	0.90	-1.00
1.84	-1.00	0.68	-0.36	-0.84	0.71	0.93	1.00	0.00	0.00	0.84	-1.00
1.86	-1.00	0.72	-0.44	-0.77	0.71	0.31	1.00	0.00	0.00	0.77	-1.00
1.88	-1.00	0.76	-0.52	-0.68	1.00	0.50	1.00	0.00	0.00	0.68	-1.00
1.90	-1.00	0.80	-0.60	-0.59	1.00	0.08	1.00	0.00	0.00	0.59	-1.00
1.92	-1.00	0.84	-0.68	-0.48	1.00	0.47	1.00	0.00	0.00	0.48	-1.00
1.94	-1.00	0.88	-0.76	-0.37	1.00	0.30	1.00	0.00	0.00	0.37	-1.00
1.96	-1.00	0.92	-0.84	-0.25	1.00	0.63	1.00	0.00	0.00	0.25	-1.00
1.98	-1.00	0.96	-0.92	-0.13	1.00	0.59	1.00	0.00	0.00	0.13	-1.00
2.00	1.00	-1.00	-1.00	0.00	-1.00	0.36	1.00	0.00	0.00	0.00	-1.00
2.02	1.00	-0.96	-0.92	0.13	-1.00	0.53	1.00	0.00	0.13	0.13	-0.84
2.04	1.00	-0.92	-0.84	0.25	-1.00	0.87	1.00	0.00	0.25	0.25	-0.68
2.06	1.00	-0.88	-0.76	0.37	-1.00	0.18	1.00	0.00	0.37	0.37	-0.52
2.08	1.00	-0.84	-0.68	0.48	-1.00	0.24	1.00	0.00	0.48	0.48	-0.36
2.10	1.00	-0.80	-0.60	0.59	-1.00	0.27	1.00	0.00	0.59	0.59	-0.20
2.12	1.00	-0.76	-0.52	0.68	-1.00	0.31	1.00	0.00	0.68	0.68	-0.04
2.14	1.00	-0.72	-0.44	0.77	-0.71	0.06	1.00	0.00	0.77	0.77	0.12
2.16	1.00	-0.68	-0.36	0.84	-0.71	0.64	1.00	0.00	0.84	0.84	0.28
2.18	1.00	-0.64	-0.28	0.90	-0.71	0.30	1.00	0.00	0.90	0.90	0.44
2.20	1.00	-0.60	-0.20	0.95	-0.71	0.75	1.00	0.00	0.95	0.95	0.60
2.22	1.00	-0.56	-0.12	0.98	-0.71	0.87	1.00	0.00	0.98	0.98	0.76
2.24	1.00	-0.52	-0.04	1.00	-0.71	0.96	1.00	0.00	1.00	1.00	0.92
2.26	1.00	-0.48	0.04	1.00	-0.43	0.48	1.00	0.00	1.00	1.00	1.00
2.28	1.00	-0.44	0.12	0.98	-0.43	0.54	1.00	0.00	0.98	0.98	1.00
2.30	1.00	-0.40	0.20	0.95	-0.43	0.20	1.00	0.00	0.95	0.95	1.00
2.32	1.00	-0.36	0.28	0.90	-0.43	0.64	1.00	0.00	0.90	0.90	1.00
2.34	1.00	-0.32	0.36	0.84	-0.43	0.72	1.00	0.00	0.84	0.84	1.00
2.36	1.00	-0.28	0.44	0.77	-0.43	0.07	1.00	0.00	0.77	0.77	1.00
2.38	1.00	-0.24	0.52	0.68	-0.14	0.38	1.00	0.00	0.68	0.68	1.00
2.40	1.00	-0.20	0.60	0.59	-0.14	0.51	1.00	0.00	0.59	0.59	1.00
2.42	1.00	-0.16	0.68	0.48	-0.14	0.47	1.00	0.00	0.48	0.48	1.00
2.44	1.00	-0.12	0.76	0.37	-0.14	0.93	1.00	0.00	0.37	0.37	1.00
2.46	1.00	-0.08	0.84	0.25	-0.14	0.13	1.00	0.00	0.25	0.25	1.00
2.48	1.00	-0.04	0.92	0.13	-0.14	0.80	1.00	0.00	0.13	0.13	1.00
2.50	-1.00	0.00	1.00	-0.00	0.14	0.10	1.00	0.00	0.00	0.00	1.00
2.52	-1.00	0.04	0.92	-0.13	0.14	0.61	1.00	0.00	0.00	0.13	0.84
2.54	-1.00	0.08	0.84	-0.25	0.14	0.26	1.00	0.00	0.00	0.25	0.68
2.56	-1.00	0.12	0.76	-0.37	0.14	0.40	1.00	0.00	0.00	0.37	0.52
2.58	-1.00	0.16	0.68	-0.48	0.14	0.90	1.00	0.00	0.00	0.48	0.36
2.60	-1.00	0.20	0.60	-0.59	0.14	0.77	1.00	0.00	0.00	0.59	0.20
2.62	-1.00	0.24	0.52	-0.68	0.14	0.20	1.00	0.00	0.00	0.68	0.04
2.64	-1.00	0.28	0.44	-0.77	0.43	0.54	1.00	0.00	0.00	0.77	-0.12
2.66	-1.00	0.32	0.36	-0.84	0.43	0.88	1.00	0.00	0.00	0.84	-0.28
2.68	-1.00	0.36	0.28	-0.90	0.43	1.00	1.00	0.00	0.00	0.90	-0.44
2.70	-1.00	0.40	0.20	-0.95	0.43	0.38	1.00	0.00	0.00	0.95	-0.60
2.72	-1.00	0.44	0.12	-0.98	0.43	0.82	1.00	0.00	0.00	0.98	-0.76
2.74	-1.00	0.48	0.04	-1.00	0.43	0.92	1.00	0.00	0.00	1.00	-0.92
2.76	-1.00	0.52	-0.04	-1.00	0.71	0.88	1.00	0.00	0.00	1.00	-1.00
2.78	-1.00	0.56	-0.12	-0.98	0.71	0.90	1.00	0.00	0.00	0.98	-1.00
2.80	-1.00	0.60	-0.20	-0.95	0.71	0.48	1.00	0.00	0.00	0.95	-1.00
2.82	-1.00	0.64	-0.28	-0.90	0.71	0.57	1.00	0.00	0.00	0.90	-1.00
2.84	-1.00	0.68	-0.36	-0.84	0.71	0.60	1.00	0.00	0.00	0.84	-1.00
2.86	-1.00	0.72	-0.44	-0.77	0.71	0.49	1.00	0.00	0.00	0.77	-1.00
2.88	-1.00	0.76	-0.52	-0.68	1.00	0.60	1.00	0.00	0.00	0.68	-1.00
2.90	-1.00	0.80	-0.60	-0.59	1.00	0.79	1.00	0.00	0.00	0.59	-1.00
2.92	-1.00	0.84	-0.68	-0.48	1.00	0.35	1.00	0.00	0.00	0.48	-1.00
2.94	-1.00	0.88	-0.76	-0.37	1.00	0.39	1.00	0.00	0.00	0.37	-1.00
2.96	-1.00	0.92	-0.84	-0.25	1.00	0.85	1.00	0.00	0.00	0.25	-1.00
2.98	-1.00	0.96	-0.92	-0.13	1.00	0.84	1.00	0.00	0.00	0.13	-1.00
3.00	1.00	-1.00	-1.00	0.00	-1.00	0.30	1.00	0.00	0.00	0.00	-1.00
3.02	1.00	-0.96	-0.92	0.13	-1.00	0.76	1.00	0.00	0.13	0.13	-0.84
3.04	1.00	-0.92	-0.84	0.25	-1.00	0.07	1.00	0.00	0.25	0.25	-0.68
3.06	1.00	-0.88	-0.76	0.37	-1.00	0.09	1.00	0.00	0.37	0.37	-0.52
3.08	1.00	-0.84	-0.68	0.48	-1.00	0.22	1.00	0.00	0.48	0.48	-0.36
3.10	1.00	-0.80	-0.60	0.59	-1.00	0.86	1.00	0.00	0.59	0.59	-0.20
3.12	1.00	-0.76	-0.52	0.68	-1.00	0.04	1.00	0.00	0.68	0.68	-0.04
3.14	1.00	-0.72	-0.44	0.77	-0.71	0.80	1.00	0.00	0.77	0.77	0.12
3.16	1.00	-0.68	-0.36	0.84	-0.71	0.83	1.00	0.00	0.84	0.84	0.28
3.18	1.00	-0.64	-0.28	0.90	-0.71	0.23	1.00	0.00	0.90	0.90	0.44
3.20	1.00	-0.60	-0.20	0.95	-0.71	0.49	1.00	0.00	0.95	0.95	0.60
3.22	1.00	-0.56	-0.12	0.98	-0.71	0.77	1.00	0.00	0.98	0.98	0.76
3.24	1.00	-0.52	-0.04	1.00	-0.71	0.78	1.00	0.00	1.00	1.00	0.92
3.26	1.00	-0.48	0.04	1.00	-0.43	0.35	1.00	0.00	1.00	1.00	1.00
3.28	1.00	-0.44	0.12	0.98	-0.43	0.99	1.00	0.00	0.98	0.98	1.00
3.30	1.00	-0.40	0.20	0.95	-0.43	0.14	1.00	0.00	0.95	0.95	1.00
3.32	1.00	-0.36	0.28	0.90	-0.43	0.05	1.00	0.00	0.90	0.90	1.00
3.34	1.00	-0.32	0.36	0.84	-0.43	0.70	1.00	0.00	0.84	0.84	1.00
3.36	1.00	-0.28	0.44	0.77	-0.43	0.82	1.00	0.00	0.77	0.77	1.00
3.38	1.00	-0.24	0.52	0.68	-0.14	0.62	1.00	0.00	0.68	0.68	1.00
3.40	1.00	-0.20	0.60	0.59	-0.14	0.01	1.00	0.00	0.59	0.59	1.00
3.42	1.00	-0.16	0.68	0.48	-0.14	0.69	1.00	0.00	0.48	0.48	1.00
3.44	1.00	-0.12	0.76	0.37	-0.14	0.19	1.00	0.00	0.37	0.37	1.00
3.46	1.00	-0.08	0.84	0.25	-0.14	0.39	1.00	0.00	0.25	0.25	1.00
3.48	1.00	-0.04	0.92	0.13	-0.14	0.39	1.00	0.00	0.13	0.13	1.00
3.50	-1.00	0.00	1.00	-0.00	0.14	0.46	1.00	0.00	0.00	0.00	1.00
3.52	-1.00	0.04	0.92	-0.13	0.14	0.75	1.00	0.00	0.00	0.13	0.84
3.54	-1.00	0.08	0.84	-0.25	0.14	0.21	1.00	0.00	0.00	0.25	0.68
3.56	-1.00	0.12	0.76	-0.37	0.14	0.85	1.00	0.00	0.00	0.37	0.52
3.58	-1.00	0.16	0.68	-0.48	0.14	0.92	1.00	0.00	0.00	0.48	0.36
3.60	-1.00	0.20	0.60	-0.59	0.14	0.78	1.00	0.00	0.00	0.59	0.20
3.62	-1.00	0.24	0.52	-0.68	0.14	0.41	1.00	0.00	0.00	0.68	0.04
3.64	-1.00	0.28	0.44	-0.77	0.43	0.90	1.00	0.00	0.00	0.77	-0.12
3.66	-1.00	0.32	0.36	-0.84	0.43	0.71	1.00	0.00	0.00	0.84	-0.28
3.68	-1.00	0.36	0.28	-0.90	0.43	0.94	1.00	0.00	0.00	0.90	-0.44
3.70	-1.00	0.40	0.20	-0.95	0.43	0.92	1.00	0.00	0.00	0.95	-0.60
3.72	-1.00	0.44	0.12	-0.98	0.43	0.91	1.00	0.00	0.00	0.98	-0.76
3.74	-1.00	0.48	0.04	-1.00	0.43	0.79	1.00	0.00	0.00	1.00	-0.92
3.76	-1.00	0.52	-0.04	-1.00	0.71	0.64	1.00	0.00	0.00	1.00	-1.00
3.78	-1.00	0.56	-0.12	-0.98	0.71	0.08	1.00	0.00	0.00	0.98	-1.00
3.80	-1.00	0.60	-0.20	-0.95	0.71	0.49	1.00	0.00	0.00	0.95	-1.00
3.82	-1.00	0.64	-0.28	-0.90	0.71	0.50	1.00	0.00	0.00	0.90	-1.00
3.84	-1.00	0.68	-0.36	-0.84	0.71	0.86	1.00	0.00	0.00	0.84	-1.00
3.86	-1.00	0.72	-0.44	-0.77	0.71	0.61	1.00	0.00	0.00	0.77	-1.00
3.88	-1.00	0.76	-0.52	-0.68	1.00	0.42	1.00	0.00	0.00	0.68	-1.00
3.90	-1.00	0.80	-0.60	-0.59	1.00	0.25	1.00	0.00	0.00	0.59	-1.00
3.92	-1.00	0.84	-0.68	-0.48	1.00	0.06	1.00	0.00	0.00	0.48	-1.00
3.94	-1.00	0.88	-0.76	-0.37	1.00	0.97	1.00	0.00	0.00	0.37	-1.00
3.96	-1.00	0.92	-0.84	-0.25	1.00	0.81	1.00	0.00	0.00	0.25	-1.00
3.98	-1.00	0.96	-0.92	-0.13	1.00	0.57	1.00	0.00	0.00	0.13	-1.00

done...
